Date,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (m/s),wind_gusts_10m_max (m/s),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),unknown_discharge (m³/s),Kushi_discharge (m³/s),Longai_discharge (m³/s),Singla_discharge (m³/s),pressure_msl (hPa),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),flooded
2015-01-01,26.5,18.6,22.3,1.2,7,1.43,3.8,65,1.73,477.63,646.14,46.64,2.37,1015.7,0.244,0.279,0.319,0.456,0
2015-01-02,27.6,18.3,22.5,0.0,0,1.88,5.0,28,2.76,475.43,643.17,46.42,2.36,1015.9,0.249,0.279,0.319,0.455,0
2015-01-03,27.5,17.9,22.9,0.0,0,1.96,4.6,22,2.69,474.34,640.21,46.21,2.34,1014.7,0.248,0.279,0.318,0.455,0
2015-01-04,25.2,18.7,21.3,4.7,8,3.24,7.6,285,2.21,466.74,598.79,46.21,2.33,1012.5,0.277,0.279,0.318,0.455,0
2015-01-05,22.7,13.7,18.3,0.2,2,3.28,8.4,293,2.37,465.66,574.44,46.1,2.33,1013.1,0.321,0.279,0.318,0.454,0
2015-01-06,22.5,13.0,17.9,0.0,0,2.16,4.3,292,2.52,464.59,566.54,45.99,2.31,1013.6,0.313,0.28,0.318,0.454,0
2015-01-07,23.0,12.2,17.2,0.0,0,2.2,4.0,322,2.65,462.45,562.64,45.67,2.3,1013.6,0.306,0.28,0.318,0.454,0
2015-01-08,23.8,12.0,17.8,0.0,0,2.3,4.1,239,2.69,460.32,558.76,45.56,2.28,1013.7,0.299,0.28,0.317,0.453,0
2015-01-09,20.7,12.9,16.6,0.4,2,1.77,4.8,106,2.16,459.26,554.9,45.34,2.27,1014.6,0.301,0.28,0.317,0.453,0
2015-01-10,22.9,11.9,16.9,0.0,0,2.1,5.0,38,2.59,451.9,532.33,44.92,2.24,1016.1,0.299,0.28,0.317,0.453,0
2015-01-11,24.0,11.7,17.4,0.0,0,2.16,4.8,351,2.84,446.71,515.42,44.71,2.22,1016.4,0.292,0.28,0.317,0.452,0
