latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.850615,92.32008,19.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (m/s),wind_gusts_10m_max (m/s),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm)
2015-01-01,26.5,18.6,22.3,1.20,1.20,0.00,7.0,1.43,3.80,65,1.73
2015-01-02,27.6,18.3,22.5,0.00,0.00,0.00,0.0,1.88,5.00,28,2.76
2015-01-03,27.5,17.9,22.9,0.00,0.00,0.00,0.0,1.96,4.60,22,2.69
2015-01-04,25.2,18.7,21.3,4.70,4.70,0.00,8.0,3.24,7.60,285,2.21
2015-01-05,22.7,13.7,18.3,0.20,0.20,0.00,2.0,3.28,8.40,293,2.37
2015-01-06,22.5,13.0,17.9,0.00,0.00,0.00,0.0,2.16,4.30,292,2.52
2015-01-07,23.0,12.2,17.2,0.00,0.00,0.00,0.0,2.20,4.00,322,2.65
2015-01-08,23.8,12.0,17.8,0.00,0.00,0.00,0.0,2.30,4.10,239,2.69
2015-01-09,20.7,12.9,16.6,0.40,0.40,0.00,2.0,1.77,4.80,106,2.16
2015-01-10,22.9,11.9,16.9,0.00,0.00,0.00,0.0,2.10,5.00,38,2.59
2015-01-11,24.0,11.7,17.4,0.00,0.00,0.00,0.0,2.16,4.80,351,2.84
2015-01-12,26.8,11.5,19.0,0.00,0.00,0.00,0.0,3.26,7.60,62,3.37
2015-01-13,25.7,11.8,18.1,0.00,0.00,0.00,0.0,2.47,6.10,55,3.12
2015-01-14,26.1,13.0,18.9,0.00,0.00,0.00,0.0,2.14,4.90,40,2.94
2015-01-15,26.8,13.1,19.4,0.00,0.00,0.00,0.0,2.12,4.70,36,3.15
2015-01-16,27.1,13.5,19.6,0.00,0.00,0.00,0.0,2.33,5.10,31,3.18
2015-01-17,26.2,13.9,19.6,0.00,0.00,0.00,0.0,2.86,6.20,7,2.91
2015-01-18,23.1,13.2,17.9,0.20,0.20,0.00,1.0,1.84,5.90,50,2.59
2015-01-19,23.0,12.7,17.7,0.20,0.20,0.00,2.0,2.01,4.80,27,2.55
2015-01-20,25.0,12.8,18.4,0.00,0.00,0.00,0.0,2.15,4.50,358,2.98
2015-01-21,26.5,12.2,18.9,0.00,0.00,0.00,0.0,2.22,4.50,357,3.11
2015-01-22,26.0,11.9,19.1,0.00,0.00,0.00,0.0,2.14,4.50,12,3.13
2015-01-23,24.7,13.3,18.8,0.00,0.00,0.00,0.0,2.15,4.30,353,2.91
2015-01-24,24.8,13.5,18.8,0.00,0.00,0.00,0.0,2.10,4.40,4,3.18
2015-01-25,24.3,11.9,18.0,0.00,0.00,0.00,0.0,2.15,4.50,358,3.16
2015-01-26,25.3,11.9,18.2,0.00,0.00,0.00,0.0,2.44,4.80,9,3.25
2015-01-27,25.4,11.9,18.8,0.00,0.00,0.00,0.0,2.19,4.60,359,3.28
2015-01-28,25.5,12.9,19.2,0.00,0.00,0.00,0.0,2.20,5.50,336,3.23
2015-01-29,26.1,13.8,20.3,0.00,0.00,0.00,0.0,3.14,6.10,302,3.28
2015-01-30,24.0,12.8,18.8,0.00,0.00,0.00,0.0,3.60,9.70,301,2.98
2015-01-31,22.2,10.6,16.1,0.00,0.00,0.00,0.0,2.39,4.30,336,3.24
2015-02-01,24.1,10.8,16.9,0.00,0.00,0.00,0.0,2.51,4.40,348,3.35
2015-02-02,26.4,11.1,18.2,0.00,0.00,0.00,0.0,2.57,4.50,350,3.50
2015-02-03,27.1,11.3,18.9,0.00,0.00,0.00,0.0,2.38,4.50,12,3.61
2015-02-04,26.1,11.4,19.0,0.00,0.00,0.00,0.0,2.01,5.00,37,3.55
2015-02-05,26.5,12.1,19.1,0.00,0.00,0.00,0.0,2.31,5.50,27,3.61
2015-02-06,25.8,11.9,18.8,0.00,0.00,0.00,0.0,2.10,5.50,6,3.61
2015-02-07,25.2,11.5,18.1,0.00,0.00,0.00,0.0,2.38,4.40,359,3.65
2015-02-08,25.7,11.1,18.8,0.00,0.00,0.00,0.0,2.09,4.70,16,3.56
2015-02-09,26.5,12.6,19.8,0.00,0.00,0.00,0.0,2.45,5.80,352,3.64
2015-02-10,26.2,14.1,20.0,0.00,0.00,0.00,0.0,2.33,6.30,331,3.41
2015-02-11,26.0,13.2,19.4,0.00,0.00,0.00,0.0,2.50,6.10,337,3.52
2015-02-12,25.9,13.0,20.0,0.00,0.00,0.00,0.0,2.30,5.20,297,3.66
2015-02-13,25.4,12.9,19.1,0.00,0.00,0.00,0.0,3.80,8.60,349,3.79
2015-02-14,25.1,12.2,18.8,0.00,0.00,0.00,0.0,2.26,5.60,39,3.85
2015-02-15,25.4,13.4,19.5,0.20,0.20,0.00,1.0,2.00,5.50,52,3.31
2015-02-16,27.3,13.9,20.4,0.00,0.00,0.00,0.0,2.24,6.10,49,3.87
2015-02-17,28.1,14.2,20.9,0.00,0.00,0.00,0.0,2.24,4.70,14,3.98
2015-02-18,27.4,14.2,21.9,0.40,0.40,0.00,2.0,1.91,4.70,359,3.73
2015-02-19,24.6,15.3,19.7,3.20,3.20,0.00,5.0,1.98,8.80,22,2.51
2015-02-20,26.6,14.9,21.0,0.10,0.10,0.00,1.0,2.64,6.10,26,3.49
2015-02-21,27.3,15.1,21.7,2.60,2.60,0.00,3.0,3.01,7.20,357,3.76
2015-02-22,25.5,15.8,20.5,7.10,7.10,0.00,3.0,2.93,6.80,63,2.81
2015-02-23,28.4,15.5,22.0,0.00,0.00,0.00,0.0,2.79,5.60,46,4.03
2015-02-24,27.3,16.5,22.5,0.00,0.00,0.00,0.0,2.09,6.40,31,3.23
2015-02-25,29.1,17.7,24.2,0.00,0.00,0.00,0.0,2.15,5.40,33,3.84
2015-02-26,27.8,19.9,23.6,1.00,1.00,0.00,8.0,2.01,5.90,22,3.17
2015-02-27,28.4,19.7,23.6,0.30,0.30,0.00,2.0,2.51,9.50,343,3.43
2015-02-28,30.1,19.2,24.5,0.00,0.00,0.00,0.0,1.87,7.50,38,3.89
2015-03-01,32.8,19.0,25.8,0.00,0.00,0.00,0.0,3.09,6.60,352,4.44
2015-03-02,31.5,19.1,25.4,0.00,0.00,0.00,0.0,3.88,9.00,282,4.41
2015-03-03,30.1,19.4,24.5,0.00,0.00,0.00,0.0,4.87,11.30,273,4.71
2015-03-04,22.9,15.6,19.0,8.00,8.00,0.00,10.0,2.42,5.90,29,1.09
2015-03-05,25.9,14.7,20.2,0.00,0.00,0.00,0.0,2.06,6.30,17,3.58
2015-03-06,27.2,14.2,20.6,0.00,0.00,0.00,0.0,2.71,6.20,304,4.54
2015-03-07,28.2,13.6,21.1,0.00,0.00,0.00,0.0,2.72,6.30,3,4.64
2015-03-08,30.2,15.0,22.7,0.00,0.00,0.00,0.0,2.47,5.50,353,4.69
2015-03-09,32.2,15.9,24.3,0.00,0.00,0.00,0.0,2.97,6.10,310,4.96
2015-03-10,31.4,15.6,23.8,0.00,0.00,0.00,0.0,3.61,8.40,288,5.02
2015-03-11,32.1,15.3,24.1,0.00,0.00,0.00,0.0,2.90,6.60,295,5.26
2015-03-12,32.1,15.8,24.1,0.00,0.00,0.00,0.0,2.90,6.40,265,5.14
2015-03-13,31.9,16.2,24.7,0.00,0.00,0.00,0.0,3.14,6.80,284,5.16
2015-03-14,32.2,17.9,25.5,0.00,0.00,0.00,0.0,3.20,8.20,321,5.33
2015-03-15,33.1,19.1,26.4,0.00,0.00,0.00,0.0,3.77,8.00,296,5.40
2015-03-16,33.2,19.7,26.6,0.00,0.00,0.00,0.0,5.52,12.10,277,5.40
2015-03-17,32.4,19.1,26.3,0.20,0.20,0.00,2.0,4.95,11.70,287,5.27
2015-03-18,32.7,20.9,26.7,0.00,0.00,0.00,0.0,4.30,10.30,304,5.22
2015-03-19,32.3,17.6,25.6,0.00,0.00,0.00,0.0,4.34,10.70,311,5.71
2015-03-20,33.1,16.5,25.5,0.00,0.00,0.00,0.0,3.31,6.60,333,5.79
2015-03-21,34.5,17.8,26.4,0.00,0.00,0.00,0.0,3.67,7.70,289,5.71
2015-03-22,34.9,18.9,27.0,0.00,0.00,0.00,0.0,3.23,7.40,293,5.64
2015-03-23,35.0,19.2,27.4,0.00,0.00,0.00,0.0,3.16,6.90,315,5.88
2015-03-24,35.5,20.2,28.3,0.00,0.00,0.00,0.0,2.14,6.20,14,5.63
2015-03-25,35.3,21.0,27.8,0.40,0.40,0.00,1.0,4.80,10.80,263,5.57
2015-03-26,33.3,21.5,27.2,0.00,0.00,0.00,0.0,2.75,5.90,342,5.36
2015-03-27,33.1,21.3,27.3,1.60,1.60,0.00,5.0,3.45,7.30,341,4.65
2015-03-28,30.3,21.6,24.8,5.90,5.90,0.00,9.0,2.55,7.90,14,3.18
2015-03-29,32.1,21.3,27.3,0.90,0.90,0.00,4.0,3.94,6.80,341,4.84
2015-03-30,33.0,22.1,27.1,2.20,2.20,0.00,7.0,3.71,8.90,280,4.73
2015-03-31,29.4,20.9,23.8,16.90,16.90,0.00,22.0,3.24,8.20,107,3.00
2015-04-01,28.1,19.6,22.6,40.70,40.70,0.00,20.0,2.91,10.40,359,3.04
2015-04-02,22.8,19.6,20.8,69.00,69.00,0.00,23.0,3.94,11.30,34,1.21
2015-04-03,25.6,20.5,22.6,19.80,19.80,0.00,22.0,3.22,7.40,49,2.18
2015-04-04,24.3,20.2,21.5,22.50,22.50,0.00,19.0,4.47,14.70,35,1.79
2015-04-05,27.5,19.8,23.6,20.70,20.70,0.00,10.0,2.56,9.60,8,3.26
2015-04-06,26.9,20.7,23.3,16.80,16.80,0.00,20.0,2.79,8.10,89,2.83
2015-04-07,28.8,20.6,24.1,2.60,2.60,0.00,10.0,2.53,6.30,34,3.69
2015-04-08,29.2,20.7,24.8,1.60,1.60,0.00,9.0,3.20,8.70,299,3.96
2015-04-09,28.8,20.3,24.4,12.90,12.90,0.00,17.0,2.43,9.40,4,3.58
2015-04-10,28.5,20.3,23.5,24.20,24.20,0.00,13.0,3.24,10.10,26,3.20
2015-04-11,29.8,20.7,25.4,2.10,2.10,0.00,7.0,1.84,5.60,32,4.32
2015-04-12,31.5,22.0,26.5,0.00,0.00,0.00,0.0,2.12,5.10,28,4.28
2015-04-13,31.3,21.1,25.9,0.00,0.00,0.00,0.0,4.34,8.40,37,4.04
2015-04-14,32.1,20.9,26.2,0.00,0.00,0.00,0.0,2.55,5.30,14,5.17
2015-04-15,32.4,20.9,26.9,0.00,0.00,0.00,0.0,2.60,5.10,330,5.31
2015-04-16,32.0,23.3,27.8,0.30,0.30,0.00,1.0,3.20,6.90,284,4.88
2015-04-17,28.2,21.5,24.0,23.00,23.00,0.00,19.0,2.13,7.30,22,2.38
2015-04-18,28.2,20.8,23.5,53.60,53.60,0.00,22.0,2.63,9.80,23,3.17
2015-04-19,25.0,21.1,22.6,24.60,24.60,0.00,14.0,2.55,9.60,57,1.60
2015-04-20,28.0,21.6,24.1,20.40,20.40,0.00,19.0,2.18,8.70,32,2.57
2015-04-21,23.7,21.0,22.1,70.20,70.20,0.00,24.0,3.05,12.70,51,1.26
2015-04-22,24.6,21.0,22.4,55.30,55.30,0.00,20.0,3.10,14.70,9,1.48
2015-04-23,27.9,20.9,23.7,17.60,17.60,0.00,17.0,2.66,10.00,360,2.61
2015-04-24,28.3,21.1,23.4,9.00,9.00,0.00,14.0,2.53,9.60,50,2.36
2015-04-25,28.3,20.3,23.1,5.20,5.20,0.00,11.0,1.90,6.10,355,2.46
2015-04-26,28.1,20.6,24.0,8.50,8.50,0.00,9.0,2.15,5.20,52,3.51
2015-04-27,29.3,20.9,24.9,0.80,0.80,0.00,6.0,2.28,7.00,47,4.97
2015-04-28,29.3,21.2,25.1,2.20,2.20,0.00,7.0,2.12,5.10,14,4.89
2015-04-29,27.7,21.3,23.6,11.40,11.40,0.00,19.0,2.47,7.60,37,2.72
2015-04-30,27.3,21.3,24.1,7.80,7.80,0.00,15.0,2.30,7.50,27,3.09
2015-05-01,25.0,21.7,23.1,13.80,13.80,0.00,21.0,2.38,8.10,65,1.65
2015-05-02,24.9,21.8,23.1,16.10,16.10,0.00,22.0,2.06,9.70,49,1.58
2015-05-03,29.5,22.1,25.2,0.40,0.40,0.00,3.0,1.58,6.40,30,3.33
2015-05-04,31.2,22.2,26.6,0.50,0.50,0.00,3.0,1.70,7.10,25,4.49
2015-05-05,31.4,22.3,27.0,0.20,0.20,0.00,2.0,1.84,6.40,43,4.90
2015-05-06,31.6,23.0,27.1,0.10,0.10,0.00,1.0,2.33,6.00,39,4.89
2015-05-07,30.6,22.5,26.8,0.20,0.20,0.00,1.0,2.22,5.10,45,3.63
2015-05-08,30.8,21.3,26.1,0.70,0.70,0.00,4.0,2.24,6.60,26,4.77
2015-05-09,31.8,21.6,27.1,0.70,0.70,0.00,3.0,2.19,4.40,41,5.31
2015-05-10,27.1,23.5,25.2,3.10,3.10,0.00,8.0,2.21,6.70,71,2.36
2015-05-11,30.7,23.7,26.0,9.40,9.40,0.00,13.0,2.06,7.00,292,3.03
2015-05-12,30.2,23.8,26.3,6.40,6.40,0.00,13.0,2.38,6.50,347,3.20
2015-05-13,29.9,23.9,26.3,10.40,10.40,0.00,11.0,1.94,7.30,39,3.38
2015-05-14,29.6,23.9,26.3,11.50,11.50,0.00,13.0,2.15,9.50,39,3.06
2015-05-15,28.2,23.6,25.1,24.70,24.70,0.00,17.0,1.92,8.30,52,1.60
2015-05-16,28.4,23.3,25.2,19.60,19.60,0.00,16.0,1.87,8.10,2,1.96
2015-05-17,28.3,22.9,25.2,14.70,14.70,0.00,12.0,2.25,6.20,58,2.27
2015-05-18,29.2,22.9,25.8,3.40,3.40,0.00,7.0,1.61,6.90,64,3.45
2015-05-19,31.3,23.6,27.4,0.30,0.30,0.00,3.0,2.13,5.10,348,4.93
2015-05-20,32.3,24.7,28.5,2.20,2.20,0.00,8.0,2.50,5.70,297,5.17
2015-05-21,31.2,25.0,27.6,3.50,3.50,0.00,12.0,1.68,7.40,33,4.00
2015-05-22,31.5,24.3,27.3,5.00,5.00,0.00,13.0,1.91,9.30,45,4.02
2015-05-23,31.2,23.9,26.3,16.80,16.80,0.00,20.0,2.33,11.30,42,3.23
2015-05-24,30.4,23.3,26.1,18.90,18.90,0.00,22.0,2.42,12.40,46,2.75
2015-05-25,31.0,23.1,26.2,25.60,25.60,0.00,18.0,2.24,14.40,2,2.83
2015-05-26,31.1,24.4,27.1,2.50,2.50,0.00,9.0,2.21,8.10,38,3.96
2015-05-27,30.1,24.2,27.0,5.90,5.90,0.00,16.0,1.82,9.70,45,3.70
2015-05-28,30.5,24.1,26.5,11.10,11.10,0.00,19.0,1.84,9.60,53,3.71
2015-05-29,29.6,23.8,26.0,12.80,12.80,0.00,21.0,2.20,10.60,41,2.50
2015-05-30,30.1,24.0,26.5,17.40,17.40,0.00,17.0,2.50,9.90,46,3.14
2015-05-31,30.5,23.9,25.8,17.30,17.30,0.00,23.0,3.00,11.10,88,2.77
2015-06-01,29.5,24.2,26.7,6.40,6.40,0.00,20.0,3.24,11.40,165,2.64
