date,pressure_msl (hPa),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³)
2015-01-01,1015.7,0.244,0.279,0.319,0.456
2015-01-02,1015.9,0.249,0.279,0.319,0.455
2015-01-03,1014.7,0.248,0.279,0.318,0.455
2015-01-04,1012.5,0.277,0.279,0.318,0.455
2015-01-05,1013.1,0.321,0.279,0.318,0.454
2015-01-06,1013.6,0.313,0.28,0.318,0.454
2015-01-07,1013.6,0.306,0.28,0.318,0.454
2015-01-08,1013.7,0.299,0.28,0.317,0.453
2015-01-09,1014.6,0.301,0.28,0.317,0.453
2015-01-10,1016.1,0.299,0.28,0.317,0.453
2015-01-11,1016.4,0.292,0.28,0.317,0.452
2015-01-12,1015.4,0.286,0.28,0.316,0.452
2015-01-13,1015.1,0.281,0.28,0.316,0.451
2015-01-14,1015.8,0.277,0.28,0.315,0.451
2015-01-15,1015.5,0.273,0.28,0.314,0.451
2015-01-16,1014.7,0.269,0.279,0.314,0.45
2015-01-17,1014.3,0.267,0.279,0.314,0.45
2015-01-18,1015.4,0.27,0.279,0.313,0.449
2015-01-19,1016.7,0.272,0.279,0.313,0.449
2015-01-20,1018.2,0.269,0.279,0.313,0.449
2015-01-21,1019.1,0.266,0.279,0.312,0.448
2015-01-22,1017.7,0.263,0.279,0.312,0.448
2015-01-23,1015.4,0.26,0.279,0.311,0.448
2015-01-24,1017.0,0.258,0.279,0.311,0.447
2015-01-25,1017.8,0.256,0.279,0.31,0.447
2015-01-26,1016.7,0.254,0.279,0.31,0.446
2015-01-27,1014.9,0.252,0.279,0.309,0.446
2015-01-28,1014.3,0.25,0.279,0.309,0.446
2015-01-29,1015.4,0.248,0.279,0.309,0.445
2015-01-30,1016.2,0.247,0.279,0.308,0.445
2015-01-31,1017.5,0.246,0.279,0.308,0.444
2015-02-01,1016.9,0.245,0.279,0.307,0.444
2015-02-02,1018.4,0.244,0.279,0.307,0.444
2015-02-03,1019.2,0.243,0.279,0.306,0.443
2015-02-04,1017.4,0.243,0.279,0.306,0.443
2015-02-05,1016.8,0.242,0.279,0.305,0.442
2015-02-06,1016.6,0.242,0.279,0.305,0.442
2015-02-07,1015.5,0.241,0.279,0.304,0.442
2015-02-08,1016.0,0.241,0.279,0.304,0.441
2015-02-09,1016.8,0.241,0.279,0.303,0.441
2015-02-10,1016.6,0.241,0.279,0.303,0.44
2015-02-11,1015.2,0.241,0.279,0.303,0.44
2015-02-12,1013.1,0.24,0.279,0.302,0.44
2015-02-13,1012.7,0.241,0.278,0.302,0.439
2015-02-14,1012.9,0.241,0.278,0.301,0.439
2015-02-15,1014.2,0.241,0.278,0.301,0.438
2015-02-16,1014.6,0.242,0.278,0.301,0.438
2015-02-17,1012.7,0.241,0.278,0.3,0.438
2015-02-18,1012.7,0.241,0.278,0.3,0.437
2015-02-19,1014.4,0.255,0.278,0.3,0.437
2015-02-20,1014.2,0.255,0.278,0.299,0.437
2015-02-21,1012.7,0.254,0.278,0.299,0.436
2015-02-22,1014.4,0.322,0.278,0.299,0.436
2015-02-23,1013.9,0.31,0.279,0.299,0.436
2015-02-24,1012.3,0.299,0.279,0.298,0.435
2015-02-25,1010.1,0.29,0.279,0.298,0.435
2015-02-26,1009.8,0.289,0.279,0.298,0.434
2015-02-27,1011.2,0.295,0.279,0.298,0.434
2015-02-28,1012.8,0.29,0.279,0.297,0.434
2015-03-01,1012.8,0.282,0.279,0.297,0.433
2015-03-02,1012.1,0.275,0.279,0.296,0.433
2015-03-03,1010.1,0.269,0.279,0.296,0.432
2015-03-04,1012.5,0.318,0.279,0.296,0.432
2015-03-05,1014.2,0.33,0.279,0.296,0.432
2015-03-06,1014.3,0.311,0.279,0.296,0.432
2015-03-07,1013.7,0.295,0.279,0.295,0.431
2015-03-08,1014.2,0.284,0.279,0.295,0.431
2015-03-09,1014.4,0.276,0.279,0.294,0.43
2015-03-10,1014.2,0.27,0.279,0.294,0.43
2015-03-11,1015.2,0.264,0.279,0.293,0.429
2015-03-12,1013.8,0.259,0.279,0.292,0.429
2015-03-13,1013.0,0.254,0.279,0.292,0.428
2015-03-14,1014.0,0.25,0.279,0.291,0.428
2015-03-15,1014.4,0.247,0.279,0.291,0.427
2015-03-16,1014.4,0.245,0.279,0.291,0.426
2015-03-17,1011.0,0.244,0.279,0.29,0.426
2015-03-18,1010.7,0.244,0.279,0.29,0.425
2015-03-19,1012.6,0.243,0.279,0.289,0.425
2015-03-20,1013.2,0.242,0.279,0.289,0.424
2015-03-21,1011.5,0.241,0.278,0.289,0.424
2015-03-22,1010.0,0.24,0.278,0.288,0.423
2015-03-23,1009.1,0.24,0.278,0.288,0.423
2015-03-24,1010.4,0.24,0.278,0.287,0.422
2015-03-25,1013.1,0.241,0.278,0.287,0.421
2015-03-26,1015.1,0.24,0.278,0.287,0.421
2015-03-27,1014.2,0.24,0.278,0.286,0.42
2015-03-28,1012.8,0.263,0.278,0.286,0.42
2015-03-29,1011.3,0.276,0.278,0.286,0.42
2015-03-30,1010.6,0.275,0.278,0.286,0.419
2015-03-31,1010.3,0.357,0.279,0.286,0.419
2015-04-01,1010.0,0.444,0.326,0.286,0.419
2015-04-02,1007.5,0.478,0.472,0.292,0.419
2015-04-03,1006.0,0.479,0.49,0.323,0.419
2015-04-04,1006.3,0.475,0.49,0.353,0.418
2015-04-05,1008.5,0.465,0.479,0.37,0.418
2015-04-06,1009.6,0.497,0.478,0.376,0.418
2015-04-07,1010.4,0.483,0.478,0.379,0.418
2015-04-08,1010.0,0.464,0.465,0.38,0.418
2015-04-09,1009.4,0.482,0.461,0.381,0.418
2015-04-10,1010.5,0.434,0.483,0.412,0.418
2015-04-11,1011.8,0.423,0.458,0.417,0.418
2015-04-12,1013.4,0.413,0.444,0.416,0.418
2015-04-13,1012.7,0.401,0.433,0.415,0.418
2015-04-14,1011.4,0.383,0.42,0.414,0.418
2015-04-15,1011.6,0.365,0.408,0.412,0.418
2015-04-16,1011.2,0.349,0.397,0.409,0.417
2015-04-17,1008.7,0.456,0.405,0.408,0.417
2015-04-18,1007.9,0.482,0.486,0.415,0.417
2015-04-19,1010.8,0.449,0.488,0.463,0.418
2015-04-20,1010.4,0.479,0.481,0.466,0.418
2015-04-21,1007.7,0.482,0.497,0.5,0.422
2015-04-22,1008.1,0.474,0.473,0.513,0.438
2015-04-23,1010.0,0.462,0.457,0.511,0.45
2015-04-24,1012.1,0.483,0.486,0.505,0.453
2015-04-25,1012.8,0.496,0.488,0.502,0.455
2015-04-26,1012.1,0.489,0.494,0.499,0.456
2015-04-27,1011.1,0.473,0.487,0.497,0.458
2015-04-28,1009.7,0.454,0.472,0.494,0.458
2015-04-29,1009.5,0.478,0.466,0.491,0.459
2015-04-30,1010.2,0.491,0.478,0.489,0.46
2015-05-01,1009.3,0.492,0.496,0.491,0.46
2015-05-02,1009.5,0.48,0.492,0.505,0.462
2015-05-03,1009.2,0.472,0.483,0.505,0.465
2015-05-04,1009.0,0.454,0.47,0.5,0.467
2015-05-05,1007.3,0.442,0.458,0.496,0.468
2015-05-06,1006.7,0.428,0.447,0.492,0.468
2015-05-07,1007.7,0.414,0.439,0.488,0.469
2015-05-08,1007.5,0.4,0.43,0.484,0.469
2015-05-09,1006.0,0.382,0.421,0.479,0.469
2015-05-10,1007.2,0.385,0.416,0.476,0.469
2015-05-11,1008.4,0.414,0.414,0.474,0.469
2015-05-12,1007.8,0.433,0.414,0.471,0.469
2015-05-13,1007.6,0.46,0.42,0.469,0.469
2015-05-14,1008.2,0.466,0.426,0.467,0.469
2015-05-15,1008.7,0.48,0.489,0.469,0.469
2015-05-16,1006.8,0.455,0.487,0.485,0.469
2015-05-17,1006.0,0.449,0.485,0.5,0.47
2015-05-18,1005.9,0.482,0.476,0.498,0.472
2015-05-19,1003.7,0.456,0.466,0.495,0.472
2015-05-20,1002.8,0.435,0.453,0.491,0.473
2015-05-21,1003.0,0.437,0.445,0.488,0.473
2015-05-22,1002.6,0.464,0.443,0.485,0.473
2015-05-23,1002.7,0.49,0.46,0.482,0.474
2015-05-24,1003.9,0.468,0.488,0.495,0.474
2015-05-25,1004.5,0.466,0.473,0.511,0.48
2015-05-26,1006.1,0.475,0.46,0.506,0.484
2015-05-27,1005.7,0.474,0.457,0.501,0.485
2015-05-28,1005.1,0.487,0.465,0.497,0.486
2015-05-29,1006.4,0.502,0.498,0.499,0.486
2015-05-30,1006.7,0.49,0.501,0.504,0.487
2015-05-31,1004.8,0.478,0.489,0.512,0.491
2015-06-01,1005.3,0.486,0.478,0.511,0.496
2015-06-02,1006.3,0.474,0.484,0.505,0.501
2015-06-03,1006.8,0.487,0.479,0.498,0.505
2015-06-04,1006.3,0.469,0.47,0.493,0.505
2015-06-05,1005.1,0.472,0.462,0.488,0.504
2015-06-06,1004.3,0.484,0.483,0.485,0.504
2015-06-07,1004.6,0.486,0.486,0.493,0.504
2015-06-08,1004.2,0.485,0.492,0.494,0.505
2015-06-09,1003.5,0.5,0.478,0.499,0.507
2015-06-10,1004.6,0.493,0.488,0.506,0.509
2015-06-11,1004.5,0.487,0.488,0.498,0.514
2015-06-12,1004.0,0.476,0.491,0.498,0.517
2015-06-13,1004.0,0.481,0.491,0.473,0.518
2015-06-14,1003.5,0.475,0.49,0.478,0.516
2015-06-15,1003.4,0.488,0.496,0.481,0.515
2015-06-16,1003.8,0.499,0.493,0.483,0.514
2015-06-17,1002.9,0.489,0.491,0.477,0.513
2015-06-18,1002.4,0.472,0.481,0.47,0.513
2015-06-19,1001.8,0.456,0.47,0.463,0.512
2015-06-20,1002.1,0.473,0.469,0.456,0.511
2015-06-21,1002.2,0.478,0.498,0.464,0.51
2015-06-22,1000.2,0.493,0.5,0.472,0.509
2015-06-23,998.8,0.475,0.49,0.511,0.511
2015-06-24,997.9,0.478,0.465,0.501,0.516
2015-06-25,994.7,0.494,0.475,0.488,0.515
2015-06-26,995.5,0.479,0.49,0.483,0.514
2015-06-27,1001.2,0.479,0.495,0.496,0.514
2015-06-28,1007.1,0.48,0.486,0.494,0.515
2015-06-29,1007.5,0.479,0.475,0.492,0.514
2015-06-30,1005.9,0.49,0.487,0.484,0.514
2015-07-01,1005.2,0.498,0.492,0.48,0.513
2015-07-02,1003.7,0.492,0.501,0.484,0.512
2015-07-03,1002.5,0.479,0.486,0.503,0.514
2015-07-04,1000.9,0.498,0.483,0.498,0.516
2015-07-05,1000.1,0.494,0.492,0.487,0.515
2015-07-06,999.4,0.492,0.495,0.48,0.514
