latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.849998,92.350006,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2015-01-01,477.63
2015-01-02,475.43
2015-01-03,474.34
2015-01-04,466.74
2015-01-05,465.66
2015-01-06,464.59
2015-01-07,462.45
2015-01-08,460.32
2015-01-09,459.26
2015-01-10,451.90
2015-01-11,446.71
2015-01-12,444.66
2015-01-13,442.61
2015-01-14,445.68
2015-01-15,445.68
2015-01-16,444.66
2015-01-17,444.66
2015-01-18,443.63
2015-01-19,442.61
2015-01-20,443.63
2015-01-21,443.63
2015-01-22,442.61
2015-01-23,441.59
2015-01-24,440.57
2015-01-25,439.55
2015-01-26,438.54
2015-01-27,438.54
2015-01-28,437.53
2015-01-29,436.52
2015-01-30,438.54
2015-01-31,440.57
2015-02-01,439.55
2015-02-02,438.54
2015-02-03,438.54
2015-02-04,437.53
2015-02-05,436.52
2015-02-06,436.52
2015-02-07,430.52
2015-02-08,422.64
2015-02-09,418.76
2015-02-10,417.79
2015-02-11,417.79
2015-02-12,416.83
2015-02-13,415.87
2015-02-14,415.87
2015-02-15,415.87
2015-02-16,414.91
2015-02-17,414.91
2015-02-18,417.79
2015-02-19,419.73
2015-02-20,418.76
2015-02-21,418.76
2015-02-22,408.26
2015-02-23,391.65
2015-02-24,384.48
2015-02-25,382.71
2015-02-26,380.94
2015-02-27,381.82
2015-02-28,384.48
2015-03-01,384.48
2015-03-02,383.59
2015-03-03,382.71
2015-03-04,391.65
2015-03-05,398.94
2015-03-06,397.11
2015-03-07,394.37
2015-03-08,391.65
2015-03-09,389.84
2015-03-10,381.82
2015-03-11,369.68
2015-03-12,364.59
2015-03-13,362.92
2015-03-14,366.28
2015-03-15,373.11
2015-03-16,374.84
2015-03-17,373.97
2015-03-18,373.97
2015-03-19,373.11
2015-03-20,374.84
2015-03-21,377.44
2015-03-22,377.44
2015-03-23,377.44
2015-03-24,376.57
2015-03-25,377.44
2015-03-26,377.44
2015-03-27,379.19
2015-03-28,384.48
2015-03-29,386.26
2015-03-30,388.94
2015-03-31,401.72
2015-04-01,422.64
2015-04-02,449.82
2015-04-03,459.26
2015-04-04,453.99
2015-04-05,441.59
2015-04-06,431.51
2015-04-07,425.58
2015-04-08,417.79
2015-04-09,417.79
2015-04-10,421.67
2015-04-11,418.76
2015-04-12,413.00
2015-04-13,410.15
2015-04-14,406.38
2015-04-15,401.72
2015-04-16,399.87
2015-04-17,405.44
2015-04-18,419.73
2015-04-19,429.53
2015-04-20,437.53
2015-04-21,488.78
2015-04-22,520.19
2015-04-23,519.00
2015-04-24,523.81
2015-04-25,527.45
2015-04-26,527.45
2015-04-27,525.02
2015-04-28,521.40
2015-04-29,525.02
2015-04-30,531.11
2015-05-01,537.27
2015-05-02,547.28
2015-05-03,548.54
2015-05-04,544.76
2015-05-05,539.75
2015-05-06,532.33
2015-05-07,527.45
2015-05-08,521.40
2015-05-09,515.42
2015-05-10,514.23
2015-05-11,516.61
2015-05-12,517.80
2015-05-13,520.19
2015-05-14,523.81
2015-05-15,531.11
2015-05-16,538.51
2015-05-17,542.25
2015-05-18,543.50
2015-05-19,539.75
2015-05-20,534.80
2015-05-21,532.33
2015-05-22,531.11
2015-05-23,534.80
2015-05-24,541.00
2015-05-25,549.81
2015-05-26,546.02
2015-05-27,541.00
2015-05-28,539.75
2015-05-29,542.25
2015-05-30,547.28
2015-05-31,554.90
2015-06-01,561.34
2015-06-02,565.24
2015-06-03,569.16
2015-06-04,569.16
2015-06-05,567.85
2015-06-06,567.85
2015-06-07,565.24
2015-06-08,565.24
2015-06-09,569.16
2015-06-10,579.76
2015-06-11,609.94
2015-06-12,646.14
2015-06-13,682.91
2015-06-14,706.95
2015-06-15,721.77
2015-06-16,726.78
2015-06-17,733.51
2015-06-18,733.51
2015-06-19,733.51
2015-06-20,754.09
2015-06-21,809.96
2015-06-22,865.96
2015-06-23,927.97
2015-06-24,980.75
2015-06-25,1024.65
2015-06-26,1080.43
2015-06-27,1152.45
2015-06-28,1266.65
2015-06-29,1363.58
2015-06-30,1376.21
2015-07-01,1360.44
2015-07-02,1344.86
2015-07-03,1338.68
2015-07-04,1335.60
2015-07-05,1323.34
2015-07-06,1320.30
2015-07-07,1329.45
2015-07-08,1354.19
2015-07-09,1382.57
2015-07-10,1418.06
2015-07-11,1437.80
2015-07-12,1451.11
2015-07-13,1451.11
2015-07-14,1437.80
2015-07-15,1454.46
2015-07-16,1526.57
2015-07-17,1789.61
2015-07-18,2036.04
2015-07-19,2112.49
2015-07-20,2151.78
2015-07-21,2212.09
2015-07-22,2295.15
2015-07-23,2397.83
2015-07-24,2534.13
2015-07-25,2830.39
2015-07-26,3125.08
2015-07-27,3168.57
2015-07-28,3146.75
2015-07-29,3110.72
2015-07-30,3096.42
2015-07-31,3234.94
2015-08-01,3474.36
2015-08-02,3563.51
2015-08-03,3506.52
2015-08-04,3434.58
2015-08-05,3364.12
2015-08-06,3302.70
2015-08-07,3249.87
2015-08-08,3234.94
2015-08-09,3234.94
2015-08-10,3227.49
2015-08-11,3220.07
2015-08-12,3205.27
2015-08-13,3175.87
2015-08-14,3139.51
2015-08-15,3103.56
2015-08-16,3053.92
2015-08-17,3018.95
2015-08-18,2998.16
2015-08-19,2991.27
2015-08-20,3005.08
2015-08-21,3018.95
2015-08-22,3039.89
2015-08-23,3046.89
2015-08-24,3046.89
2015-08-25,3012.01
2015-08-26,2977.52
2015-08-27,2963.83
2015-08-28,2936.65
2015-08-29,2896.34
2015-08-30,2843.46
2015-08-31,2823.88
2015-09-01,2896.34
2015-09-02,3005.08
2015-09-03,3125.08
2015-09-04,3125.08
2015-09-05,3068.02
2015-09-06,2998.16
2015-09-07,2950.21
2015-09-08,2903.02
2015-09-09,2836.92
2015-09-10,2791.54
2015-09-11,2759.58
2015-09-12,2734.27
2015-09-13,2702.96
2015-09-14,2684.34
2015-09-15,2665.86
2015-09-16,2629.27
2015-09-17,2593.18
2015-09-18,2557.59
2015-09-19,2534.13
2015-09-20,2534.13
2015-09-21,2522.48
2015-09-22,2487.86
2015-09-23,2476.42
2015-09-24,2465.04
2015-09-25,2453.71
2015-09-26,2425.61
2015-09-27,2370.37
2015-09-28,2316.39
2015-09-29,2258.44
2015-09-30,2212.09
2015-10-01,2171.70
2015-10-02,2136.96
2015-10-03,2102.78
2015-10-04,2064.38
2015-10-05,2031.36
2015-10-06,2008.09
2015-10-07,1998.86
2015-10-08,1998.86
2015-10-09,2022.02
2015-10-10,2040.74
2015-10-11,2026.68
2015-10-12,2003.47
2015-10-13,1980.53
2015-10-14,1944.36
2015-10-15,1917.67
2015-10-16,1891.34
2015-10-17,1861.09
2015-10-18,1827.10
2015-10-19,1793.73
2015-10-20,1752.88
2015-10-21,1716.91
2015-10-22,1677.80
2015-10-23,1643.37
2015-10-24,1605.94
2015-10-25,1572.98
2015-10-26,1537.15
2015-10-27,1505.61
2015-10-28,1471.31
2015-10-29,1441.12
2015-10-30,1408.29
2015-10-31,1382.57
2015-11-01,1357.31
2015-11-02,1332.52
2015-11-03,1308.18
2015-11-04,1281.33
2015-11-05,1257.93
2015-11-06,1232.11
2015-11-07,1204.04
2015-11-08,1179.32
2015-11-09,1155.11
2015-11-10,1131.40
2015-11-11,1108.18
2015-11-12,1085.43
2015-11-13,1065.60
2015-11-14,1043.72
2015-11-15,1022.29
2015-11-16,1001.31
2015-11-17,983.01
2015-11-18,962.83
2015-11-19,943.06
2015-11-20,925.83
2015-11-21,906.82
2015-11-22,890.25
2015-11-23,871.97
2015-11-24,856.04
2015-11-25,840.40
2015-11-26,823.14
2015-11-27,808.10
2015-11-28,793.33
2015-11-29,778.83
2015-11-30,764.60
2015-12-01,752.36
2015-12-02,738.61
2015-12-03,726.78
2015-12-04,716.79
2015-12-05,705.32
2015-12-06,695.63
2015-12-07,682.91
2015-12-08,671.98
2015-12-09,662.74
2015-12-10,652.13
2015-12-11,643.17
