latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.650002,91.80002,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2015-01-01,646.14
2015-01-02,643.17
2015-01-03,640.21
2015-01-04,598.79
2015-01-05,574.44
2015-01-06,566.54
2015-01-07,562.64
2015-01-08,558.76
2015-01-09,554.90
2015-01-10,532.33
2015-01-11,515.42
2015-01-12,505.99
2015-01-13,499.03
2015-01-14,522.60
2015-01-15,537.27
2015-01-16,537.27
2015-01-17,543.50
2015-01-18,543.50
2015-01-19,541.00
2015-01-20,543.50
2015-01-21,546.02
2015-01-22,544.76
2015-01-23,543.50
2015-01-24,542.25
2015-01-25,539.75
2015-01-26,537.27
2015-01-27,536.03
2015-01-28,533.56
2015-01-29,531.11
2015-01-30,543.50
2015-01-31,549.81
2015-02-01,548.54
2015-02-02,546.02
2015-02-03,544.76
2015-02-04,543.50
2015-02-05,542.25
2015-02-06,542.25
2015-02-07,538.51
2015-02-08,529.88
2015-02-09,521.40
2015-02-10,520.19
2015-02-11,519.00
2015-02-12,517.80
2015-02-13,516.61
2015-02-14,515.42
2015-02-15,517.80
2015-02-16,515.42
2015-02-17,511.86
2015-02-18,520.19
2015-02-19,529.88
2015-02-20,528.66
2015-02-21,529.88
2015-02-22,525.02
2015-02-23,504.82
2015-02-24,492.17
2015-02-25,484.29
2015-02-26,480.95
2015-02-27,479.84
2015-02-28,478.73
2015-03-01,479.84
2015-03-02,478.73
2015-03-03,476.53
2015-03-04,491.04
2015-03-05,502.50
2015-03-06,499.03
2015-03-07,492.17
2015-03-08,486.53
2015-03-09,483.17
2015-03-10,477.63
2015-03-11,464.59
2015-03-12,453.99
2015-03-13,449.82
2015-03-14,448.78
2015-03-15,453.99
2015-03-16,459.26
2015-03-17,459.26
2015-03-18,459.26
2015-03-19,458.20
2015-03-20,457.14
2015-03-21,459.26
2015-03-22,460.32
2015-03-23,460.32
2015-03-24,459.26
2015-03-25,461.38
2015-03-26,461.38
2015-03-27,471.06
2015-03-28,483.17
2015-03-29,485.41
2015-03-30,491.04
2015-03-31,510.68
2015-04-01,554.90
2015-04-02,649.13
2015-04-03,692.43
2015-04-04,661.22
2015-04-05,650.63
2015-04-06,638.73
2015-04-07,615.59
2015-04-08,585.14
2015-04-09,583.79
2015-04-10,594.66
2015-04-11,596.04
2015-04-12,585.14
2015-04-13,573.12
2015-04-14,563.94
2015-04-15,554.90
2015-04-16,548.54
2015-04-17,563.94
2015-04-18,614.18
2015-04-19,658.17
2015-04-20,676.64
2015-04-21,740.31
2015-04-22,890.25
2015-04-23,936.56
2015-04-24,923.70
2015-04-25,900.57
2015-04-26,886.16
2015-04-27,873.98
2015-04-28,858.01
2015-04-29,854.07
2015-04-30,859.99
2015-05-01,871.97
2015-05-02,884.12
2015-05-03,886.16
2015-05-04,876.00
2015-05-05,861.98
2015-05-06,846.23
2015-05-07,834.60
2015-05-08,825.04
2015-05-09,811.83
2015-05-10,804.38
2015-05-11,808.10
2015-05-12,815.58
2015-05-13,821.24
2015-05-14,830.76
2015-05-15,850.14
2015-05-16,876.00
2015-05-17,888.20
2015-05-18,886.16
2015-05-19,869.96
2015-05-20,854.07
2015-05-21,842.33
2015-05-22,838.46
2015-05-23,846.23
2015-05-24,865.96
2015-05-25,886.16
2015-05-26,890.25
2015-05-27,880.05
2015-05-28,876.00
2015-05-29,882.08
2015-05-30,894.36
2015-05-31,913.11
2015-06-01,925.83
2015-06-02,936.56
2015-06-03,947.42
2015-06-04,947.42
2015-06-05,938.72
2015-06-06,934.41
2015-06-07,934.41
2015-06-08,936.56
2015-06-09,943.06
2015-06-10,967.28
2015-06-11,1050.96
2015-06-12,1149.80
2015-06-13,1209.60
2015-06-14,1240.65
2015-06-15,1252.14
2015-06-16,1255.03
2015-06-17,1246.38
2015-06-18,1234.95
2015-06-19,1223.62
2015-06-20,1226.44
2015-06-21,1278.38
2015-06-22,1360.44
2015-06-23,1454.46
2015-06-24,1537.15
2015-06-25,1594.88
2015-06-26,1650.96
2015-06-27,1720.87
2015-06-28,1822.90
2015-06-29,1930.97
2015-06-30,1962.36
2015-07-01,1944.36
2015-07-02,1930.97
2015-07-03,1926.53
2015-07-04,1922.09
2015-07-05,1908.85
2015-07-06,1913.26
2015-07-07,1930.97
2015-07-08,1966.89
2015-07-09,2008.09
2015-07-10,2045.45
2015-07-11,2059.63
2015-07-12,2064.38
2015-07-13,2064.38
2015-07-14,2059.63
2015-07-15,2146.83
2015-07-16,2295.15
2015-07-17,2653.61
2015-07-18,3018.95
2015-07-19,3096.42
2015-07-20,3154.01
2015-07-21,3212.66
2015-07-22,3287.52
2015-07-23,3403.08
2015-07-24,3522.71
2015-07-25,3766.04
2015-07-26,4110.50
2015-07-27,4167.69
2015-07-28,4119.98
2015-07-29,4072.80
2015-07-30,4054.09
2015-07-31,4215.96
2015-08-01,4507.17
2015-08-02,4622.81
2015-08-03,4538.42
2015-08-04,4445.31
2015-08-05,4344.10
2015-08-06,4264.80
2015-08-07,4186.94
2015-08-08,4139.00
2015-08-09,4129.47
2015-08-10,4110.50
2015-08-11,4101.04
2015-08-12,4072.80
2015-08-13,4044.76
2015-08-14,3989.25
2015-08-15,3952.67
2015-08-16,3907.41
2015-08-17,3862.67
2015-08-18,3844.92
2015-08-19,3880.50
2015-08-20,3934.50
2015-08-21,3952.67
2015-08-22,3961.78
2015-08-23,3952.67
2015-08-24,3952.67
2015-08-25,3898.42
2015-08-26,3844.92
2015-08-27,3800.89
2015-08-28,3774.72
2015-08-29,3722.92
2015-08-30,3671.82
2015-08-31,3654.95
2015-09-01,3748.73
2015-09-02,3898.42
2015-09-03,4063.43
2015-09-04,4091.61
2015-09-05,4026.17
2015-09-06,3934.50
2015-09-07,3862.67
2015-09-08,3800.89
2015-09-09,3722.92
2015-09-10,3671.82
2015-09-11,3638.15
2015-09-12,3604.79
2015-09-13,3563.51
2015-09-14,3555.31
2015-09-15,3530.83
2015-09-16,3474.36
2015-09-17,3410.93
2015-09-18,3356.38
2015-09-19,3340.95
2015-09-20,3333.26
2015-09-21,3333.26
2015-09-22,3287.52
2015-09-23,3295.10
2015-09-24,3317.94
2015-09-25,3302.70
2015-09-26,3272.41
2015-09-27,3190.54
2015-09-28,3110.72
2015-09-29,3032.89
2015-09-30,2963.83
2015-10-01,2909.72
2015-10-02,2856.59
2015-10-03,2810.90
2015-10-04,2765.94
2015-10-05,2721.70
2015-10-06,2690.54
2015-10-07,2678.17
2015-10-08,2678.17
2015-10-09,2690.54
2015-10-10,2702.96
2015-10-11,2690.54
2015-10-12,2659.72
2015-10-13,2623.22
2015-10-14,2575.32
2015-10-15,2534.13
2015-10-16,2499.35
2015-10-17,2453.71
2015-10-18,2414.46
2015-10-19,2364.92
2015-10-20,2321.74
2015-10-21,2268.86
2015-10-22,2222.31
2015-10-23,2176.71
2015-10-24,2127.14
2015-10-25,2083.49
2015-10-26,2040.74
2015-10-27,1998.86
2015-10-28,1953.34
2015-10-29,1913.26
2015-10-30,1873.99
2015-10-31,1839.77
2015-11-01,1806.17
2015-11-02,1773.19
2015-11-03,1740.81
2015-11-04,1709.02
2015-11-05,1677.80
2015-11-06,1643.37
2015-11-07,1609.65
2015-11-08,1580.25
2015-11-09,1547.82
2015-11-10,1516.05
2015-11-11,1488.36
2015-11-12,1457.81
2015-11-13,1431.19
2015-11-14,1401.81
2015-11-15,1376.21
2015-11-16,1347.96
2015-11-17,1323.34
2015-11-18,1299.17
2015-11-19,1275.44
2015-11-20,1252.14
2015-11-21,1229.27
2015-11-22,1206.81
2015-11-23,1184.77
2015-11-24,1163.13
2015-11-25,1141.88
2015-11-26,1121.02
2015-11-27,1100.54
2015-11-28,1082.93
2015-11-29,1063.14
2015-11-30,1046.13
2015-12-01,1027.02
2015-12-02,1010.58
2015-12-03,996.70
2015-12-04,983.01
2015-12-05,967.28
2015-12-06,953.99
2015-12-07,938.72
2015-12-08,923.70
2015-12-09,911.01
2015-12-10,896.43
2015-12-11,884.12
2015-12-12,873.98
2015-12-13,861.98
2015-12-14,852.10
2015-12-15,819.35
2015-12-16,798.83
2015-12-17,787.86
2015-12-18,777.04
2015-12-19,766.36
2015-12-20,757.58
2015-12-21,748.89
2015-12-22,740.31
2015-12-23,733.51
2015-12-24,725.11
2015-12-25,742.02
2015-12-26,747.17
2015-12-27,742.02
2015-12-28,735.21
2015-12-29,730.14
2015-12-30,725.11
2015-12-31,720.11
2016-01-01,715.14
2016-01-02,710.21
2016-01-03,705.32
2016-01-04,656.66
2016-01-05,627.06
2016-01-06,619.87
2016-01-07,614.18
2016-01-08,608.54
2016-01-09,611.35
2016-01-10,596.04
2016-01-11,578.43
2016-01-12,570.48
2016-01-13,565.24
2016-01-14,587.84
2016-01-15,598.79
2016-01-16,598.79
2016-01-17,594.66
2016-01-18,590.56
2016-01-19,587.84
2016-01-20,600.17
2016-01-21,607.13
2016-01-22,601.56
2016-01-23,596.04
2016-01-24,590.56
2016-01-25,586.49
2016-01-26,583.79
2016-01-27,578.43
2016-01-28,577.10
2016-01-29,574.44
2016-01-30,581.10
2016-01-31,586.49
2016-02-01,589.20
2016-02-02,587.84
2016-02-03,585.14
2016-02-04,582.45
2016-02-05,578.43
2016-02-06,575.77
2016-02-07,573.12
2016-02-08,561.34
2016-02-09,558.76
2016-02-10,558.76
2016-02-11,560.05
2016-02-12,565.24
2016-02-13,565.24
2016-02-14,558.76
2016-02-15,554.90
2016-02-16,549.81
2016-02-17,547.28
2016-02-18,546.02
2016-02-19,543.50
2016-02-20,543.50
2016-02-21,544.76
2016-02-22,547.28
2016-02-23,534.80
2016-02-24,547.28
2016-02-25,574.44
2016-02-26,567.85
2016-02-27,552.35
2016-02-28,543.50
2016-02-29,538.51
2016-03-01,533.56
2016-03-02,529.88
2016-03-03,526.23
2016-03-04,521.40
2016-03-05,519.00
2016-03-06,516.61
2016-03-07,514.23
2016-03-08,513.04
2016-03-09,508.33
2016-03-10,499.03
2016-03-11,491.04
2016-03-12,487.65
2016-03-13,487.65
2016-03-14,496.74
2016-03-15,500.19
2016-03-16,499.03
2016-03-17,497.88
2016-03-18,497.88
2016-03-19,520.19
2016-03-20,547.28
2016-03-21,562.64
2016-03-22,570.48
2016-03-23,563.94
2016-03-24,553.63
2016-03-25,536.03
2016-03-26,525.02
2016-03-27,527.45
2016-03-28,563.94
2016-03-29,625.61
2016-03-30,647.63
2016-03-31,649.13
2016-04-01,643.17
2016-04-02,627.06
2016-04-03,628.51
2016-04-04,662.74
2016-04-05,713.50
2016-04-06,735.21
2016-04-07,731.82
2016-04-08,731.82
2016-04-09,728.46
2016-04-10,721.77
2016-04-11,710.21
2016-04-12,700.46
2016-04-13,708.58
2016-04-14,768.13
2016-04-15,832.68
2016-04-16,886.16
2016-04-17,980.75
2016-04-18,1168.50
2016-04-19,1278.38
2016-04-20,1287.25
2016-04-21,1308.18
2016-04-22,1427.89
2016-04-23,1904.46
2016-04-24,2289.87
2016-04-25,2232.57
2016-04-26,2117.36
2016-04-27,2012.72
2016-04-28,1930.97
2016-04-29,1865.38
2016-04-30,1818.70
2016-05-01,1810.34
2016-05-02,1802.02
2016-05-03,1781.38
2016-05-04,1765.04
2016-05-05,1744.82
2016-05-06,1720.87
2016-05-07,1689.44
2016-05-08,1658.59
2016-05-09,1628.30
2016-05-10,1594.88
2016-05-11,1565.75
2016-05-12,1540.70
2016-05-13,1565.75
2016-05-14,1591.21
2016-05-15,1598.56
2016-05-16,1602.25
2016-05-17,1677.80
2016-05-18,1752.88
2016-05-19,1769.11
2016-05-20,1785.49
2016-05-21,1922.09
2016-05-22,2031.36
2016-05-23,2093.11
2016-05-24,2107.63
2016-05-25,2141.89
2016-05-26,2151.78
2016-05-27,2117.36
2016-05-28,2078.70
2016-05-29,2050.16
2016-05-30,2017.37
2016-05-31,1989.67
2016-06-01,1957.84
2016-06-02,1922.09
2016-06-03,1886.99
2016-06-04,1856.80
2016-06-05,1844.02
2016-06-06,1848.27
2016-06-07,1856.80
2016-06-08,1869.68
2016-06-09,1891.34
2016-06-10,1922.09
2016-06-11,2017.37
2016-06-12,2227.44
2016-06-13,2672.01
2016-06-14,2950.21
2016-06-15,2950.21
2016-06-16,2896.34
2016-06-17,2883.03
2016-06-18,2903.02
2016-06-19,2950.21
2016-06-20,2957.01
2016-06-21,2923.15
2016-06-22,2896.34
2016-06-23,2896.34
2016-06-24,2883.03
2016-06-25,2850.02
2016-06-26,2823.88
2016-06-27,2836.92
2016-06-28,2850.02
2016-06-29,2856.59
2016-06-30,2850.02
2016-07-01,2843.46
2016-07-02,2850.02
2016-07-03,2883.03
2016-07-04,2998.16
2016-07-05,3110.72
2016-07-06,3197.90
2016-07-07,3205.27
2016-07-08,3242.40
2016-07-09,3257.37
2016-07-10,3264.88
2016-07-11,3264.88
2016-07-12,3279.95
2016-07-13,3279.95
2016-07-14,3249.87
2016-07-15,3212.66
2016-07-16,3190.54
2016-07-17,3190.54
2016-07-18,3183.20
2016-07-19,3175.87
2016-07-20,3146.75
2016-07-21,3110.72
2016-07-22,3075.10
2016-07-23,3053.92
2016-07-24,3039.89
2016-07-25,3032.89
2016-07-26,3012.01
2016-07-27,2991.27
2016-07-28,2950.21
2016-07-29,2923.15
2016-07-30,2889.68
2016-07-31,2863.18
2016-08-01,2830.39
2016-08-02,2797.98
2016-08-03,2753.23
2016-08-04,2721.70
2016-08-05,2709.19
2016-08-06,2734.27
2016-08-07,2778.71
2016-08-08,2785.12
2016-08-09,2797.98
2016-08-10,2791.54
2016-08-11,2778.71
2016-08-12,2772.32
2016-08-13,2765.94
2016-08-14,2734.27
2016-08-15,2709.19
2016-08-16,2690.54
2016-08-17,2659.72
2016-08-18,2617.18
2016-08-19,2575.32
2016-08-20,2539.97
2016-08-21,2522.48
2016-08-22,2522.48
2016-08-23,2510.89
2016-08-24,2470.72
2016-08-25,2453.71
2016-08-26,2442.43
2016-08-27,2431.20
2016-08-28,2408.91
2016-08-29,2386.81
2016-08-30,2375.84
2016-08-31,2364.92
2016-09-01,2370.37
2016-09-02,2381.32
2016-09-03,2375.84
2016-09-04,2359.48
2016-09-05,2337.84
2016-09-06,2337.84
2016-09-07,2337.84
2016-09-08,2327.09
2016-09-09,2311.07
2016-09-10,2289.87
2016-09-11,2268.86
2016-09-12,2268.86
2016-09-13,2284.60
2016-09-14,2305.75
2016-09-15,2311.07
2016-09-16,2311.07
2016-09-17,2305.75
2016-09-18,2316.39
2016-09-19,2332.46
2016-09-20,2343.23
2016-09-21,2364.92
2016-09-22,2392.32
2016-09-23,2420.03
2016-09-24,2420.03
2016-09-25,2425.61
2016-09-26,2431.20
2016-09-27,2420.03
2016-09-28,2397.83
2016-09-29,2381.32
2016-09-30,2364.92
2016-10-01,2348.63
2016-10-02,2327.09
2016-10-03,2305.75
2016-10-04,2284.60
2016-10-05,2263.64
2016-10-06,2253.24
2016-10-07,2258.44
2016-10-08,2258.44
2016-10-09,2258.44
2016-10-10,2253.24
2016-10-11,2242.88
2016-10-12,2268.86
2016-10-13,2274.10
2016-10-14,2258.44
2016-10-15,2237.72
2016-10-16,2212.09
2016-10-17,2171.70
2016-10-18,2127.14
2016-10-19,2083.49
2016-10-20,2040.74
2016-10-21,2003.47
2016-10-22,1962.36
2016-10-23,1922.09
2016-10-24,1882.65
2016-10-25,1848.27
2016-10-26,1818.70
2016-10-27,1797.87
2016-10-28,1781.38
2016-10-29,1777.28
2016-10-30,1769.11
2016-10-31,1748.85
2016-11-01,1724.84
2016-11-02,1693.34
2016-11-03,1670.09
2016-11-04,1654.77
2016-11-05,1666.25
2016-11-06,1844.02
2016-11-07,2097.94
2016-11-08,2151.78
2016-11-09,2141.89
2016-11-10,2088.30
2016-11-11,2026.68
2016-11-12,1980.53
2016-11-13,1935.42
2016-11-14,1891.34
2016-11-15,1848.27
2016-11-16,1810.34
2016-11-17,1769.11
2016-11-18,1732.80
2016-11-19,1697.24
2016-11-20,1666.25
2016-11-21,1632.05
2016-11-22,1598.56
2016-11-23,1569.36
2016-11-24,1537.15
2016-11-25,1509.08
2016-11-26,1481.52
2016-11-27,1454.46
2016-11-28,1424.61
2016-11-29,1398.59
2016-11-30,1376.21
2016-12-01,1351.07
2016-12-02,1326.39
2016-12-03,1302.17
2016-12-04,1281.33
2016-12-05,1257.93
2016-12-06,1234.95
2016-12-07,1215.19
2016-12-08,1192.99
2016-12-09,1173.90
2016-12-10,1155.11
2016-12-11,1134.01
2016-12-12,1115.86
2016-12-13,1098.01
2016-12-14,1060.70
2016-12-15,1034.14
2016-12-16,1015.25
2016-12-17,999.00
2016-12-18,985.28
2016-12-19,969.51
2016-12-20,956.19
2016-12-21,943.06
2016-12-22,930.11
2016-12-23,915.22
2016-12-24,925.83
2016-12-25,923.70
2016-12-26,911.01
2016-12-27,900.57
2016-12-28,888.20
2016-12-29,878.02
2016-12-30,865.96
2016-12-31,856.04
2017-01-01,846.23
2017-01-02,838.46
2017-01-03,828.85
2017-01-04,771.68
2017-01-05,740.31
2017-01-06,728.46
2017-01-07,720.11
2017-01-08,711.85
2017-01-09,703.69
2017-01-10,686.07
2017-01-11,667.34
2017-01-12,655.15
2017-01-13,647.63
2017-01-14,670.43
2017-01-15,681.34
2017-01-16,678.20
2017-01-17,673.53
2017-01-18,667.34
2017-01-19,662.74
2017-01-20,662.74
2017-01-21,659.69
2017-01-22,655.15
2017-01-23,650.63
2017-01-24,647.63
2017-01-25,643.17
2017-01-26,638.73
2017-01-27,640.21
2017-01-28,640.21
2017-01-29,634.33
2017-01-30,638.73
2017-01-31,643.17
2017-02-01,641.69
2017-02-02,638.73
2017-02-03,637.26
2017-02-04,632.87
2017-02-05,629.96
2017-02-06,627.06
2017-02-07,622.73
2017-02-08,614.18
2017-02-09,607.13
2017-02-10,602.95
2017-02-11,602.95
2017-02-12,600.17
2017-02-13,596.04
2017-02-14,596.04
2017-02-15,594.66
2017-02-16,590.56
2017-02-17,587.84
2017-02-18,587.84
2017-02-19,587.84
2017-02-20,598.79
2017-02-21,609.94
2017-02-22,615.59
2017-02-23,608.54
2017-02-24,597.41
2017-02-25,583.79
2017-02-26,573.12
2017-02-27,565.24
2017-02-28,563.94
2017-03-01,562.64
2017-03-02,558.76
2017-03-03,554.90
2017-03-04,556.19
2017-03-05,575.77
2017-03-06,591.93
2017-03-07,586.49
2017-03-08,579.76
2017-03-09,575.77
2017-03-10,581.10
2017-03-11,622.73
2017-03-12,658.17
2017-03-13,625.61
2017-03-14,596.04
2017-03-15,583.79
2017-03-16,575.77
2017-03-17,566.54
2017-03-18,573.12
2017-03-19,579.76
2017-03-20,586.49
2017-03-21,587.84
2017-03-22,578.43
2017-03-23,569.16
2017-03-24,563.94
2017-03-25,579.76
2017-03-26,598.79
2017-03-27,604.34
2017-03-28,600.17
2017-03-29,656.66
2017-03-30,826.94
2017-03-31,1036.53
2017-04-01,1053.39
2017-04-02,1046.13
2017-04-03,1098.01
2017-04-04,1141.88
2017-04-05,1163.13
2017-04-06,1173.90
2017-04-07,1165.81
2017-04-08,1157.78
2017-04-09,1163.13
2017-04-10,1157.78
2017-04-11,1141.88
2017-04-12,1123.61
2017-04-13,1103.08
2017-04-14,1082.93
2017-04-15,1065.60
2017-04-16,1055.82
2017-04-17,1041.32
2017-04-18,1027.02
2017-04-19,1036.53
2017-04-20,1072.99
2017-04-21,1131.40
2017-04-22,1839.77
2017-04-23,2442.43
2017-04-24,2343.23
2017-04-25,2370.37
2017-04-26,2327.09
2017-04-27,2227.44
2017-04-28,2127.14
2017-04-29,2050.16
2017-04-30,1989.67
2017-05-01,1944.36
2017-05-02,1904.46
2017-05-03,1865.38
2017-05-04,1822.90
2017-05-05,1789.61
2017-05-06,1765.04
2017-05-07,1736.80
2017-05-08,1705.08
2017-05-09,1677.80
2017-05-10,1647.16
2017-05-11,1617.08
2017-05-12,1587.55
2017-05-13,1572.98
2017-05-14,1576.61
2017-05-15,1605.94
2017-05-16,1639.59
2017-05-17,1647.16
2017-05-18,1639.59
2017-05-19,1628.30
2017-05-20,1613.36
2017-05-21,1594.88
2017-05-22,1572.98
2017-05-23,1551.39
2017-05-24,1530.09
2017-05-25,1523.05
2017-05-26,1512.56
2017-05-27,1495.24
2017-05-28,1474.71
2017-05-29,1464.55
2017-05-30,1658.59
2017-05-31,1852.53
2017-06-01,1891.34
2017-06-02,1935.42
2017-06-03,2017.37
2017-06-04,2397.83
2017-06-05,2617.18
2017-06-06,2487.86
2017-06-07,2348.63
2017-06-08,2248.05
2017-06-09,2196.86
2017-06-10,2186.76
2017-06-11,2212.09
2017-06-12,2348.63
2017-06-13,2623.22
2017-06-14,2817.38
2017-06-15,2869.78
2017-06-16,2876.40
2017-06-17,2977.52
2017-06-18,3089.30
2017-06-19,3139.51
2017-06-20,3146.75
2017-06-21,3146.75
2017-06-22,3139.51
2017-06-23,3117.89
2017-06-24,3082.19
2017-06-25,3060.96
2017-06-26,3046.89
2017-06-27,3032.89
2017-06-28,3018.95
2017-06-29,3018.95
2017-06-30,3025.91
2017-07-01,3025.91
2017-07-02,3018.95
2017-07-03,3039.89
2017-07-04,3068.02
2017-07-05,3089.30
2017-07-06,3125.08
2017-07-07,3103.56
2017-07-08,3089.30
2017-07-09,3075.10
2017-07-10,3060.96
2017-07-11,3053.92
2017-07-12,3053.92
2017-07-13,3068.02
2017-07-14,3060.96
2017-07-15,3032.89
2017-07-16,3005.08
2017-07-17,2970.67
2017-07-18,2963.83
2017-07-19,3025.91
2017-07-20,3117.89
2017-07-21,3161.28
2017-07-22,3154.01
2017-07-23,3175.87
2017-07-24,3257.37
2017-07-25,3356.38
2017-07-26,3395.25
2017-07-27,3379.65
2017-07-28,3356.38
2017-07-29,3325.60
2017-07-30,3295.10
2017-07-31,3272.41
2017-08-01,3249.87
2017-08-02,3220.07
2017-08-03,3175.87
2017-08-04,3132.29
2017-08-05,3110.72
2017-08-06,3117.89
2017-08-07,3132.29
2017-08-08,3125.08
2017-08-09,3103.56
2017-08-10,3117.89
2017-08-11,3183.20
2017-08-12,3279.95
2017-08-13,3348.66
2017-08-14,3348.66
2017-08-15,3340.95
2017-08-16,3310.31
2017-08-17,3279.95
2017-08-18,3249.87
2017-08-19,3234.94
2017-08-20,3220.07
2017-08-21,3220.07
2017-08-22,3227.49
2017-08-23,3249.87
2017-08-24,3272.41
2017-08-25,3302.70
2017-08-26,3340.95
2017-08-27,3403.08
2017-08-28,3482.37
2017-08-29,3450.44
2017-08-30,3418.79
2017-08-31,3403.08
2017-09-01,3403.08
2017-09-02,3395.25
2017-09-03,3387.44
2017-09-04,3356.38
2017-09-05,3333.26
2017-09-06,3302.70
2017-09-07,3257.37
2017-09-08,3220.07
2017-09-09,3190.54
2017-09-10,3190.54
2017-09-11,3175.87
2017-09-12,3154.01
2017-09-13,3117.89
2017-09-14,3082.19
2017-09-15,3039.89
2017-09-16,2998.16
2017-09-17,2977.52
2017-09-18,2991.27
2017-09-19,3039.89
2017-09-20,3075.10
2017-09-21,3075.10
2017-09-22,3039.89
2017-09-23,2984.38
2017-09-24,2943.42
2017-09-25,2896.34
2017-09-26,2843.46
2017-09-27,2810.90
2017-09-28,2823.88
2017-09-29,2856.59
2017-09-30,2863.18
2017-10-01,2856.59
2017-10-02,2823.88
2017-10-03,2772.32
2017-10-04,2715.44
2017-10-05,2672.01
2017-10-06,2641.41
2017-10-07,2617.18
2017-10-08,2587.21
2017-10-09,2557.59
2017-10-10,2522.48
2017-10-11,2493.60
2017-10-12,2465.04
2017-10-13,2448.06
2017-10-14,2425.61
2017-10-15,2392.32
2017-10-16,2343.23
2017-10-17,2300.44
2017-10-18,2305.75
2017-10-19,2311.07
2017-10-20,2359.48
2017-10-21,2629.27
2017-10-22,2830.39
2017-10-23,2869.78
2017-10-24,2810.90
2017-10-25,2727.98
2017-10-26,2653.61
2017-10-27,2587.21
2017-10-28,2522.48
2017-10-29,2470.72
2017-10-30,2436.81
2017-10-31,2453.71
2017-11-01,2476.42
2017-11-02,2448.06
2017-11-03,2397.83
2017-11-04,2348.63
2017-11-05,2300.44
2017-11-06,2253.24
2017-11-07,2207.01
2017-11-08,2161.72
2017-11-09,2117.36
2017-11-10,2078.70
2017-11-11,2036.04
2017-11-12,1994.26
2017-11-13,1957.84
2017-11-14,1917.67
2017-11-15,1882.65
2017-11-16,1852.53
2017-11-17,1827.10
2017-11-18,1810.34
2017-11-19,1789.61
2017-11-20,1760.98
2017-11-21,1728.82
2017-11-22,1697.24
2017-11-23,1666.25
2017-11-24,1635.82
2017-11-25,1605.94
2017-11-26,1576.61
2017-11-27,1547.82
2017-11-28,1523.05
2017-11-29,1495.24
2017-11-30,1467.93
2017-12-01,1444.44
2017-12-02,1418.06
2017-12-03,1392.16
2017-12-04,1369.88
2017-12-05,1347.96
2017-12-06,1323.34
2017-12-07,1302.17
2017-12-08,1281.33
2017-12-09,1287.25
2017-12-10,1379.38
2017-12-11,1467.93
2017-12-12,1474.71
2017-12-13,1454.46
2017-12-14,1424.61
2017-12-15,1379.38
2017-12-16,1341.77
2017-12-17,1314.22
2017-12-18,1287.25
2017-12-19,1263.74
2017-12-20,1240.65
2017-12-21,1220.80
2017-12-22,1198.50
2017-12-23,1179.32
2017-12-24,1160.45
2017-12-25,1157.78
2017-12-26,1147.15
2017-12-27,1128.80
2017-12-28,1110.73
2017-12-29,1095.48
2017-12-30,1077.95
2017-12-31,1063.14
2018-01-01,1048.54
2018-01-02,1041.32
2018-01-03,1041.32
2018-01-04,989.83
2018-01-05,960.61
