latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.800003,92.350006,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2015-01-01,46.64
2015-01-02,46.42
2015-01-03,46.21
2015-01-04,46.21
2015-01-05,46.10
2015-01-06,45.99
2015-01-07,45.67
2015-01-08,45.56
2015-01-09,45.34
2015-01-10,44.92
2015-01-11,44.71
2015-01-12,44.50
2015-01-13,44.29
2015-01-14,44.19
2015-01-15,43.98
2015-01-16,43.87
2015-01-17,43.77
2015-01-18,43.67
2015-01-19,43.46
2015-01-20,43.36
2015-01-21,43.26
2015-01-22,43.16
2015-01-23,43.06
2015-01-24,42.95
2015-01-25,42.75
2015-01-26,42.65
2015-01-27,42.55
2015-01-28,42.45
2015-01-29,42.35
2015-01-30,42.35
2015-01-31,42.25
2015-02-01,42.25
2015-02-02,42.25
2015-02-03,42.15
2015-02-04,42.05
2015-02-05,41.95
2015-02-06,41.85
2015-02-07,41.36
2015-02-08,40.98
2015-02-09,40.88
2015-02-10,40.78
2015-02-11,40.69
2015-02-12,40.59
2015-02-13,40.50
2015-02-14,40.40
2015-02-15,40.40
2015-02-16,40.30
2015-02-17,40.30
2015-02-18,40.40
2015-02-19,40.40
2015-02-20,40.40
2015-02-21,40.50
2015-02-22,39.74
2015-02-23,39.09
2015-02-24,38.81
2015-02-25,38.63
2015-02-26,38.45
2015-02-27,38.54
2015-02-28,38.63
2015-03-01,38.54
2015-03-02,38.54
2015-03-03,38.45
2015-03-04,39.46
2015-03-05,39.83
2015-03-06,39.46
2015-03-07,39.18
2015-03-08,38.99
2015-03-09,38.90
2015-03-10,38.08
2015-03-11,37.55
2015-03-12,37.37
2015-03-13,37.28
2015-03-14,37.64
2015-03-15,37.90
2015-03-16,37.82
2015-03-17,37.82
2015-03-18,37.73
2015-03-19,37.73
2015-03-20,37.82
2015-03-21,37.90
2015-03-22,37.90
2015-03-23,37.90
2015-03-24,37.82
2015-03-25,37.82
2015-03-26,37.73
2015-03-27,37.82
2015-03-28,38.26
2015-03-29,38.36
2015-03-30,38.72
2015-03-31,41.76
2015-04-01,48.43
2015-04-02,57.48
2015-04-03,56.68
2015-04-04,52.83
2015-04-05,52.21
2015-04-06,52.09
2015-04-07,49.82
2015-04-08,47.19
2015-04-09,46.86
2015-04-10,47.75
2015-04-11,46.97
2015-04-12,45.67
2015-04-13,44.71
2015-04-14,43.77
2015-04-15,43.06
2015-04-16,42.55
2015-04-17,44.19
2015-04-18,50.40
2015-04-19,54.59
2015-04-20,57.34
2015-04-21,66.92
2015-04-22,72.96
2015-04-23,74.34
2015-04-24,73.82
2015-04-25,72.79
2015-04-26,72.45
2015-04-27,71.28
2015-04-28,69.79
2015-04-29,69.96
2015-04-30,70.61
2015-05-01,71.78
2015-05-02,72.62
2015-05-03,71.78
2015-05-04,70.12
2015-05-05,68.50
2015-05-06,67.23
2015-05-07,66.14
2015-05-08,65.07
2015-05-09,64.16
2015-05-10,63.86
2015-05-11,64.31
2015-05-12,65.22
2015-05-13,65.83
2015-05-14,66.76
2015-05-15,69.15
2015-05-16,71.61
2015-05-17,73.30
2015-05-18,73.13
2015-05-19,71.61
2015-05-20,69.96
2015-05-21,69.15
2015-05-22,68.66
2015-05-23,69.47
2015-05-24,71.11
2015-05-25,73.30
2015-05-26,72.96
2015-05-27,72.11
2015-05-28,72.11
2015-05-29,72.79
2015-05-30,74.51
2015-05-31,76.27
2015-06-01,76.09
2015-06-02,76.27
2015-06-03,75.74
2015-06-04,74.34
2015-06-05,73.30
2015-06-06,72.62
2015-06-07,72.11
2015-06-08,71.95
2015-06-09,72.28
2015-06-10,74.68
2015-06-11,88.13
2015-06-12,97.63
2015-06-13,101.33
2015-06-14,101.33
2015-06-15,102.04
2015-06-16,101.33
2015-06-17,99.93
2015-06-18,97.63
2015-06-19,95.83
2015-06-20,97.86
2015-06-21,100.86
2015-06-22,106.15
2015-06-23,114.35
2015-06-24,120.62
2015-06-25,124.31
2015-06-26,128.42
2015-06-27,132.97
2015-06-28,135.14
2015-06-29,133.28
2015-06-30,130.22
2015-07-01,127.53
2015-07-02,126.64
2015-07-03,126.64
2015-07-04,124.89
2015-07-05,123.17
2015-07-06,127.82
2015-07-07,132.35
2015-07-08,139.60
2015-07-09,145.89
2015-07-10,148.97
2015-07-11,148.97
2015-07-12,147.59
2015-07-13,145.89
2015-07-14,144.88
2015-07-15,148.62
2015-07-16,165.34
2015-07-17,243.91
2015-07-18,261.42
2015-07-19,249.03
2015-07-20,252.51
2015-07-21,255.45
