latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.700005,92.45001,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2015-01-01,2.37
2015-01-02,2.36
2015-01-03,2.34
2015-01-04,2.33
2015-01-05,2.33
2015-01-06,2.31
2015-01-07,2.30
2015-01-08,2.28
2015-01-09,2.27
2015-01-10,2.24
2015-01-11,2.22
2015-01-12,2.21
2015-01-13,2.18
2015-01-14,2.17
2015-01-15,2.16
2015-01-16,2.14
2015-01-17,2.13
2015-01-18,2.13
2015-01-19,2.11
2015-01-20,2.09
2015-01-21,2.09
2015-01-22,2.08
2015-01-23,2.08
2015-01-24,2.06
2015-01-25,2.05
2015-01-26,2.05
2015-01-27,2.03
2015-01-28,2.03
2015-01-29,2.00
2015-01-30,2.00
2015-01-31,2.00
2015-02-01,2.00
2015-02-02,2.00
2015-02-03,1.97
2015-02-04,1.97
2015-02-05,1.97
2015-02-06,1.97
2015-02-07,1.94
2015-02-08,1.90
2015-02-09,1.88
2015-02-10,1.88
2015-02-11,1.88
2015-02-12,1.84
2015-02-13,1.84
2015-02-14,1.84
2015-02-15,1.84
2015-02-16,1.84
2015-02-17,1.84
2015-02-18,1.84
2015-02-19,1.84
2015-02-20,1.84
2015-02-21,1.84
2015-02-22,1.78
2015-02-23,1.75
2015-02-24,1.72
2015-02-25,1.69
2015-02-26,1.69
2015-02-27,1.69
2015-02-28,1.69
2015-03-01,1.69
2015-03-02,1.69
2015-03-03,1.69
2015-03-04,1.75
2015-03-05,1.75
2015-03-06,1.75
2015-03-07,1.75
2015-03-08,1.75
2015-03-09,1.75
2015-03-10,1.69
2015-03-11,1.65
2015-03-12,1.65
2015-03-13,1.62
2015-03-14,1.65
2015-03-15,1.65
2015-03-16,1.65
2015-03-17,1.65
2015-03-18,1.69
2015-03-19,1.65
2015-03-20,1.69
2015-03-21,1.69
2015-03-22,1.69
2015-03-23,1.69
2015-03-24,1.69
2015-03-25,1.69
2015-03-26,1.69
2015-03-27,1.69
2015-03-28,1.72
2015-03-29,1.72
2015-03-30,1.72
2015-03-31,1.81
2015-04-01,1.97
2015-04-02,2.25
2015-04-03,2.40
2015-04-04,2.40
2015-04-05,2.37
2015-04-06,2.34
2015-04-07,2.28
2015-04-08,2.22
2015-04-09,2.16
2015-04-10,2.18
2015-04-11,2.22
2015-04-12,2.18
2015-04-13,2.16
2015-04-14,2.09
2015-04-15,2.06
2015-04-16,2.03
2015-04-17,2.03
2015-04-18,2.18
2015-04-19,2.37
2015-04-20,2.60
2015-04-21,3.09
2015-04-22,3.66
2015-04-23,3.94
2015-04-24,4.06
2015-04-25,4.09
2015-04-26,4.06
2015-04-27,4.04
2015-04-28,3.94
2015-04-29,3.94
2015-04-30,3.94
2015-05-01,3.97
2015-05-02,4.04
2015-05-03,4.06
2015-05-04,4.00
2015-05-05,3.94
2015-05-06,3.84
2015-05-07,3.79
2015-05-08,3.72
2015-05-09,3.66
2015-05-10,3.62
2015-05-11,3.59
2015-05-12,3.59
2015-05-13,3.62
2015-05-14,3.62
2015-05-15,3.72
2015-05-16,3.81
2015-05-17,3.94
2015-05-18,4.00
2015-05-19,3.97
2015-05-20,3.88
2015-05-21,3.84
2015-05-22,3.81
2015-05-23,3.81
2015-05-24,3.84
2015-05-25,3.97
2015-05-26,4.06
2015-05-27,4.06
2015-05-28,4.06
2015-05-29,4.09
2015-05-30,4.13
2015-05-31,4.22
2015-06-01,4.28
2015-06-02,4.31
2015-06-03,4.31
2015-06-04,4.28
2015-06-05,4.22
2015-06-06,4.19
2015-06-07,4.19
2015-06-08,4.15
2015-06-09,4.19
2015-06-10,4.28
2015-06-11,4.78
2015-06-12,5.37
2015-06-13,5.78
2015-06-14,6.00
2015-06-15,6.06
2015-06-16,6.10
2015-06-17,6.00
2015-06-18,5.87
2015-06-19,5.75
2015-06-20,5.75
2015-06-21,5.90
2015-06-22,6.13
2015-06-23,6.43
2015-06-24,6.78
2015-06-25,6.96
2015-06-26,7.04
2015-06-27,7.18
2015-06-28,7.34
2015-06-29,7.34
2015-06-30,7.22
2015-07-01,7.09
2015-07-02,7.00
2015-07-03,7.00
2015-07-04,7.00
2015-07-05,6.94
2015-07-06,7.00
2015-07-07,7.15
2015-07-08,7.32
2015-07-09,7.47
2015-07-10,7.57
2015-07-11,7.57
2015-07-12,7.49
2015-07-13,7.41
2015-07-14,7.38
2015-07-15,7.47
2015-07-16,8.73
2015-07-17,13.89
2015-07-18,16.18
2015-07-19,14.85
2015-07-20,14.63
2015-07-21,14.31
2015-07-22,13.96
2015-07-23,13.86
2015-07-24,14.00
2015-07-25,13.93
